Acc	Protein.name	Module	first.AA	last.AA	PDB.code	PDB.chain			Protein.name	Acc	Chain	Description	UniProt
A3	G1TT27	60S Ribosome	0	257	6hcj.cif	A3		TRUE	G1TT27	A3	A3	Ribosomal protein L8	G1TT27_RABIT 1-257
aa2	G1TDB3	40S Ribosome	0	125	6hcj.cif	a2		TRUE	G1TDB3	aa2	a2	eS25	G1TDB3_RABIT 1-125
aa3	G1SNY0	60S Ribosome	0	148	6hcj.cif	a3		TRUE	G1SNY0	aa3	a3	uL15	G1SNY0_RABIT 2-148
B2	G1TLT8	40S Ribosome	0	295	6hcj.cif	B2		TRUE	G1TLT8	B2	B2	uS2	
B3	G1TL06	60S Ribosome	0	403	6hcj.cif	B3		TRUE	G1TL06	B3	B3	uL3	G1TL06_RABIT 2-403
bb2	G1TLT8	40S Ribosome	0	115	6hcj.cif	b2		FALSE	G1TFE8	bb2	b2	eS26	
bb3	G1SGR6	60S Ribosome	0	245	6hcj.cif	b3		TRUE	G1SGR6	bb3	b3	eL29	G1SGR6_RABIT 1-226
C2	G1SS70	40S Ribosome	0	264	6hcj.cif	C2		TRUE	G1SS70	C2	C2	40S ribosomal protein S3a	G1SS70_RABIT 1-264
C3	G1SVW5	60S Ribosome	0	425	6hcj.cif	C3		TRUE	G1SVW5	C3	C3	uL4	
cc2	G1TZ76	40S Ribosome	0	84	6hcj.cif	c2		TRUE	G1TZ76	cc2	c2	40S ribosomal protein S27	G1TZ76_RABIT 1-84
cc3		60S Ribosome	0	115	6hcj.cif	c3		FALSE	G1TDL2	cc3	c3	eL30	G1TDL2_RABIT 1-115
D2	G1SWM1	40S Ribosome	0	293	6hcj.cif	D2		FALSE		D2	D2	uS5	
D3	P19949	60S Ribosome	0	297	6hcj.cif	D3		TRUE	P19949	D3	D3	60S ribosomal protein L5	G1SYJ6_RABIT 2-297
dd2	G1TIB4	40S Ribosome	0	69	6hcj.cif	d2		TRUE	G1TIB4	dd2	d2	Ribosomal protein S28	G1TIB4_RABIT 1-69
