Acc	Old.acc	Protein.name	Gene.name	Module	first.AA	last.AA	PDB.code	PDB.chain
G1TT27	A3	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	RPL8	60S Ribosome	0	257	6hcj.cif	A3
G1TDB3	aa2	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	40S Ribosome	0	124	6hcj.cif	a2
G1SNY0	aa3	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)	RPL27A	60S Ribosome	0	148	6hcj.cif	a3
G1TLT8	B2	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	RPSA	40S Ribosome	0	295	6hcj.cif	B2
G1TL06	B3	Large ribosomal subunit protein uL3 (60S ribosomal protein L3)	RPL3	60S Ribosome	0	403	6hcj.cif	B3
G1TFE8	bb2	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	40S Ribosome	0	115	6hcj.cif	b2
G1SGR6	bb3	Large ribosomal subunit protein eL29 (60S ribosomal protein L29)	RPL29	60S Ribosome	0	245	6hcj.cif	b3
G1SS70	C2	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)	RPS3A	40S Ribosome	0	264	6hcj.cif	C2
G1SVW5	C3	Large ribosomal subunit protein uL4 (60S ribosomal protein L4)	RPL4	60S Ribosome	0	413	6hcj.cif	C3
G1TZ76	cc2	Small ribosomal subunit protein eS27 (40S ribosomal protein S27)	RPS27	40S Ribosome	0	84	6hcj.cif	c2
G1TDL2	cc3	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	RPL30	60S Ribosome	0	115	6hcj.cif	c3
G1SWM1	D2	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	RPS2	40S Ribosome	0	292	6hcj.cif	D2
P19949	D3	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	RPL5	60S Ribosome	0	297	6hcj.cif	D3
G1TIB4	dd2	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	40S Ribosome	0	69	6hcj.cif	d2
G1SHG0	dd3	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	RPL31	60S Ribosome	0	125	6hcj.cif	d3
G1TNM3	E2	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3	40S Ribosome	0	243	6hcj.cif	E2
G1SKF7	E3	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	RPL6	60S Ribosome	0	291	6hcj.cif	E3
G1U7M4	ee2	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29	40S Ribosome	0	56	6hcj.cif	e2
G1TUN8	ee3	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	RPL32	60S Ribosome	0	135	6hcj.cif	e3
G1TK17	F2	Small ribosomal subunit protein eS4 (40S ribosomal protein S4)	RPS4X	40S Ribosome	0	263	6hcj.cif	F2
G1SV32	F3	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	RPL7	60S Ribosome	0	208	6hcj.cif	F3
G1T8A2	ff2	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	40S Ribosome	0	133	6hcj.cif	f2
G1SF08	ff3	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	RPL35A	60S Ribosome	0	110	6hcj.cif	f3
G1TFM5	G2	Small ribosomal subunit protein uS7 (40S ribosomal protein S5)	RPS5	40S Ribosome	0	204	6hcj.cif	G2
G1STW0	G3	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a)	RPL7A	60S Ribosome	0	319	6hcj.cif	G3
G1SK22	gg2	Ubiquitin-ribosomal protein eS31 fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A	40S Ribosome	0	156	6hcj.cif	g2
G1TXG5	gg3	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	RPL34	60S Ribosome	0	117	6hcj.cif	g3
G1TM55	H2	Small ribosomal subunit protein eS6 (40S ribosomal protein S6)	RPS6	40S Ribosome	0	249	6hcj.cif	H2
G1SWI6	H3	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	RPL9	60S Ribosome	0	192	6hcj.cif	H3
